Company Name - Active Companies,Location Name,Location Address
,Bong Bros 12 Smoke Shop,"44 NW 167th St, Miami, FL 33169, USA"
(Miami) MCA-Airports,21  MIA-F Maestro de la Pizza,
Mother Wolf - Miami,Mother Wolf - Miami,"3841 NE 2nd Ave, Miami, FL 33137, USA"
SEXY FISH,Sexy Fish,"1001 S Miami Ave, Miami, FL 33130, USA"
Dos Croquetas®,Dos Croquetas - Bird Rd,"10505 Southwest 40th Street, Miami, FL, USA"
Bondi Sushi,Miami Midtown,"3401 NE 1st Ave, Miami, FL 33137, USA"
V&E - Marabu Brickell,Marabu - Brickell,"701 S Miami Ave, Miami, FL 33130, USA"
Talkin Tacos,Talkin Tacos Wynwood,"172 NW 24th St, Miami, FL 33127, USA"
,Studio 183 Lounge,"230 NW 183rd St, Miami, FL 33169, USA"
Oakberry - MiMO,Oakberry - MiMO,"6912 Biscayne Blvd, Miami, FL 33138, USA"
Tacos and Tattoos,Tacos and Tattoos,"11790 Southwest 104th Street, Miami, FL, United States"
Miam Wynwood,Miam Wynwood,"2750 NW 3rd Ave, Miami, FL 33127, USA"
Doya,Doya,"347 NW 24th St, Miami, FL 33127, USA"
Bondi Sushi,Brickell,"1062 Brickell Ave, Miami, FL 33131, USA"
CVI.CHE 105,Pollos & Jarras Downtown,"115 Northeast 3rd Avenue, Miami, FL, USA"
(Miami) MCA-Airports,Worldwide Market G,"4200 Northwest 21st Street, Miami, FL, USA"
Vegan Cuban Cuisine,Vegan Cuban Cuisine,"9460 SW 72nd St, Miami, FL 33173, USA"
Yamashiro Miami at The Gale,Yamashiro Miami at The Gale,"159 NE 6th St, Miami, FL 33132, USA"
Sushi Sake Corporate,Hammocks,"14649 Southwest 104th Street, Miami, FL, USA"
Madrid Tapas y Vinos,Madrid Tapas y Vinos,"525 NW 42nd Ave, Miami, FL 33126, USA"
,HGVJGJ,"Miami, Florida, EE. UU."
South Region - Anthony's Coal Fired Pizza,1034 - Kendall,"12502 SW 88th St, Miami, FL 33186, USA"
Seaspice,Seaspice,"422 Northwest North River Drive, Miami, FL, USA"
Negroni Midtown,Negroni Midtown,"Buena Vista Blvd, Miami, FL, USA"
Sushi Sake Corporate,Little Havana,"1615 Southwest 8th Street, Miami, FL, USA"
Rockboy Pizza,Rockboy Pizza,"30 SW 8th St, Miami, FL 33130, USA"
DCG Brickell,DCG Brickell,"26 SW 8th St, Miami, FL 33130, USA"
Black Market,Benihana Bayside,"401 Biscayne Blvd, Miami, FL 33132, USA"
(Miami) MCA-Airports,26  MIA-F World Wide Market,
SHAHS OF KABOB,SOK PALMETTO BAY 14487 S Dixie Hwy,"14487 S Dixie Hwy, Miami, FL 33176, USA"
Ariete Hospitality Group,Ariete,"3540 Main Hwy, Coconut Grove, FL 33133, USA"
Cafe Bastille,Cafe Bastille,"Miami, FL, USA"
Le Chick Miami,Le Chick Miami,"310 NW 24th St, Miami, FL 33127, USA"
"Estefan Enterprises, Inc.",Estefan Kitchen Express – Miami International Airport,"1961 Miad Cir, Miami, FL 33126, USA"
Mister O1 Brickell - Brickell 305 LLC,MisterO1 Brickell - Brickell 305 LLC,"1000 South Miami Avenue, Miami, FL, USA"
(Miami) MCA-Airports,11 MIA-D Peet's Coffee,"2100 NW 42nd Ave, Miami, FL 33142, USA"
OL'DAYS Florida,OL'DAYS Midtown,"3301 Northeast 1st Avenue, Miami, Florida, EE. UU."
Nothing Bundt Cakes - Doral,Nothing Bundt Cakes - Doral,"2100 NW 107th Ave Suite #105, Miami, FL 33172, USA"
Groot Hospitality - Gekko,Gekko,"Miami, FL, USA"
Gastronomica Restaurant Group,CosaNostra (El Cuban Diner),"1620 SW 8th St, Miami, FL 33135, USA"
MC Kitchen,MC Kitchen,"4141 NE 2nd Ave, Miami, FL 33137, USA"
Japan Inn,Doral,"1790 NW 107th Ave, Miami, FL 33172, USA"
Electric Lady,Electric Lady,"144 NW 23rd St, Miami, FL 33127, USA"
(Miami) MCA-Airports,19 MIA-G Maestro de la Pizza,"4200 Northwest 21st Street, Miami, FL, USA"
Ossobuco Wynwood,Ossobuco Wynwood,"62 NW 27th St, Miami, FL 33127, USA"
Museum of Ice Cream,Museum of Ice Cream (MIA),"851 NE 1st Ave ste 134, Miami, FL 33132, USA"
TANUKI RIVER LANDING LLC,TANUKI RIVER LANDING LLC,"1420 NW N River Dr, Miami, FL 33125, USA"
Spanish Marie,Spanish Marie,"14251 SW 120th St ste 108, Miami, FL 33186, USA"
Seafair,Seafair - Miami - Grand Luxe,"100 Chopin Plaza, Miami, FL 33131, USA"
Chifactory,Chifactory,"4800 SW 75th Ave, Miami, FL 33155, USA"
